"source","PlotNo","oatName","peaName"
"oatE 271   plots 2","196","IL23-4547","NDP170273Y peaE 235"
"oatE 274   plots 3","310","IL23-4572","NDP170056G peaE 207"
"oatE 274   plots 3","332","IL23-4572","NDP170182Y peaE 224"
"oatE 274   plots 3","352","IL23-4572","NDP150232Y peaE 183"
"oatE 275   plots 3","019","IL23-4575","NDP170110Y peaE 215"
"oatE 275   plots 3","024","IL23-4575","NDP250098Y peaE 72"
"oatE 275   plots 3","328","IL23-4575","NDP250157Y peaE 131"
"oatE 276   plots 3","134","IL23-4718","NDP150228Y peaE 181"
"oatE 276   plots 3","261","IL23-4718","NDP170104Y peaE 214"
"oatE 276   plots 3","397","IL23-4718","NDP250109G peaE 83"
"oatE 278   plots 3","152","IL23-4722","NDP250149G peaE 123"
"oatE 278   plots 3","170","IL23-4722","NDP250135Y peaE 109"
"oatE 278   plots 3","203","IL23-4722","NDP250074Y peaE 48"
"oatE 280   plots 1","313","IL23-4835","NDP160188Y peaE 190"
