bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location,nPlots,state
421,104,NDP250130Y,1,64.2,1,AL
422,104,NDP250130Y,2,64.2,1,IA
423,104,NDP250130Y,3,192.6,3,IL
424,104,NDP250130Y,4,64.2,1,ND
425,105,NDP250131Y,1,120,2,AL
426,105,NDP250131Y,2,60,1,IA
427,105,NDP250131Y,4,60,1,ND
428,105,NDP250131Y,5,240,4,NY
429,106,NDP250132Y,1,60,1,AL
430,106,NDP250132Y,2,120,2,IA
431,106,NDP250132Y,3,60,1,IL
432,106,NDP250132Y,4,60,1,ND
433,107,NDP250133G,1,126.6,2,AL
434,107,NDP250133G,2,189.9,3,IA
435,107,NDP250133G,3,63.3,1,IL
436,107,NDP250133G,5,126.6,2,NY
437,108,NDP250134G,2,117.6,2,IA
438,108,NDP250134G,3,117.6,2,IL
439,108,NDP250134G,5,58.8,1,NY
440,109,NDP250135Y,2,71.4,1,IA
441,109,NDP250135Y,3,71.4,1,IL
442,109,NDP250135Y,4,71.4,1,ND
443,109,NDP250135Y,5,285.6,4,NY
444,110,NDP250136G,1,136.8,2,AL
445,110,NDP250136G,2,68.4,1,IA
446,110,NDP250136G,3,136.8,2,IL
447,110,NDP250136G,4,136.8,2,ND
448,110,NDP250136G,5,68.4,1,NY
449,111,NDP250137G,2,133.8,2,IA
450,111,NDP250137G,4,66.9,1,ND
451,111,NDP250137G,5,66.9,1,NY
452,112,NDP250138G,1,124.8,2,AL
453,112,NDP250138G,2,62.4,1,IA
454,112,NDP250138G,3,312,5,IL
455,112,NDP250138G,4,124.8,2,ND
456,112,NDP250138G,5,62.4,1,NY
457,113,NDP250139G,2,121.2,2,IA
458,113,NDP250139G,3,181.8,3,IL
459,113,NDP250139G,4,121.2,2,ND
460,113,NDP250139G,5,60.6,1,NY
461,114,NDP250140G,1,54.6,1,AL
462,114,NDP250140G,2,54.6,1,IA
463,114,NDP250140G,4,54.6,1,ND
464,114,NDP250140G,5,163.8,3,NY
465,115,NDP250141G,1,162,3,AL
466,115,NDP250141G,3,108,2,IL
467,115,NDP250141G,4,108,2,ND
468,115,NDP250141G,5,108,2,NY
469,116,NDP250142G,1,63.8,1,AL
470,116,NDP250142G,3,127.6,2,IL
471,116,NDP250142G,4,63.8,1,ND
472,117,NDP250143G,5,66.3,1,NY
473,118,NDP250144G,1,66,1,AL
474,118,NDP250144G,2,132,2,IA
475,118,NDP250144G,3,264,4,IL
476,118,NDP250144G,5,66,1,NY
477,119,NDP250145G,1,58.8,1,AL
478,119,NDP250145G,3,117.6,2,IL
479,120,NDP250146G,1,63,1,AL
480,120,NDP250146G,2,63,1,IA
481,120,NDP250146G,4,63,1,ND
482,120,NDP250146G,5,63,1,NY
483,121,NDP250147G,1,139.2,2,AL
484,121,NDP250147G,2,69.6,1,IA
485,121,NDP250147G,3,139.2,2,IL
486,121,NDP250147G,5,69.6,1,NY
487,122,NDP250148G,1,80.2,1,AL
488,122,NDP250148G,2,80.2,1,IA
489,122,NDP250148G,3,80.2,1,IL
490,122,NDP250148G,4,80.2,1,ND
491,122,NDP250148G,5,80.2,1,NY
492,123,NDP250149G,1,190.8,3,AL
493,123,NDP250149G,2,190.8,3,IA
494,123,NDP250149G,3,190.8,3,IL
495,123,NDP250149G,4,127.2,2,ND
496,123,NDP250149G,5,190.8,3,NY
497,124,NDP250150G,2,253.2,4,IA
498,124,NDP250150G,4,126.6,2,ND
499,124,NDP250150G,5,253.2,4,NY
500,125,NDP250151Y,1,67.8,1,AL
501,125,NDP250151Y,3,203.4,3,IL
502,125,NDP250151Y,4,135.6,2,ND
503,125,NDP250151Y,5,135.6,2,NY
504,126,NDP250152Y,1,214.2,3,AL
505,126,NDP250152Y,2,142.8,2,IA
506,126,NDP250152Y,3,142.8,2,IL
507,126,NDP250152Y,4,71.4,1,ND
508,126,NDP250152Y,5,142.8,2,NY
509,127,NDP250153Y,1,67.2,1,AL
510,127,NDP250153Y,2,67.2,1,IA
511,127,NDP250153Y,3,134.4,2,IL
512,127,NDP250153Y,4,201.6,3,ND
513,127,NDP250153Y,5,201.6,3,NY
514,128,NDP250154Y,2,126,2,IA
515,128,NDP250154Y,3,63,1,IL
516,128,NDP250154Y,5,126,2,NY
517,129,NDP250155Y,1,106.2,2,AL
518,129,NDP250155Y,2,53.1,1,IA
