sn,Pea,Oat,combo2,category,Replication,Location,Present on field PlotNumber,Row,Column,original on T3 PlotNumber,plot_number,changed,type of change
134,NDP250174Y,IL23-4063,NDP250174Y+IL23-4063,unique_combos,Rep 0,1,134,4,27,134,1134,TRUE,
135,NDP160129G,IL22-2250,NDP160129G+IL22-2250,unique_combos,Rep 0,1,135,4,26,135,1135,TRUE,
136,NDP250043Y,IL22-5830,NDP250043Y+IL22-5830,within_loc,Rep 2,1,136,4,25,136,1136,TRUE,
137,NDP250107G,IL23-3826,NDP250107G+IL23-3826,unique_combos,Rep 0,1,137,4,24,137,1137,TRUE,
138,NDP250056G,IL23-4444,NDP250056G+IL23-4444,unique_combos,Rep 0,1,138,4,23,138,1138,TRUE,
139,NDP250089Y,IL20-8446,NDP250089Y+IL20-8446,across_loc,Rep 0,1,139,4,22,139,1139,TRUE,
140,NDP170022G,IL21-4020,NDP170022G+IL21-4020,unique_combos,Rep 0,1,140,4,21,140,1140,TRUE,
141,NDP250171Y,IL21-3542,NDP250171Y+IL21-3542,unique_combos,Rep 0,1,141,4,20,141,1141,TRUE,
142,NDP250077Y,IL23-1651,NDP250077Y+IL23-1651,unique_combos,Rep 0,1,142,4,19,142,1142,TRUE,
143,NDP250146G,IL22-251,NDP250146G+IL22-251,unique_combos,Rep 0,1,143,4,18,143,1143,TRUE,
144,NDP250098Y,IL23-612,NDP250098Y+IL23-612,unique_combos,Rep 0,1,144,4,17,144,1144,TRUE,
145,NDP170350Y,IL23-1547,NDP170350Y+IL23-1547,across_loc,Rep 0,1,145,4,16,145,1145,TRUE,
146,NDP250186G,IL22-5365,NDP250186G+IL22-5365,unique_combos,Rep 0,1,146,4,15,146,1146,TRUE,
147,NDP250070Y,IL23-1450,NDP250070Y+IL23-1450,within_loc,Rep 1,1,147,4,14,147,1147,TRUE,
148,NDP250110G,IL23-1947,NDP250110G+IL23-1947,unique_combos,Rep 0,1,148,4,13,148,1148,TRUE,
149,NDP250180Y,IL23-2554,NDP250180Y+IL23-2554,unique_combos,Rep 0,1,149,4,12,149,1149,TRUE,
150,NDP150232Y,IL23-943,NDP150232Y+IL23-943,unique_combos,Rep 0,1,150,4,11,150,1150,TRUE,
151,NDP170183Y,IL23-3572,NDP170183Y+IL23-3572,unique_combos,Rep 0,1,151,4,10,151,1151,TRUE,
152,NDP170012G,IL23-1115,NDP170012G+IL23-1115,unique_combos,Rep 0,1,152,4,9,152,1152,TRUE,
153,NDP150232Y,IL21-4011,NDP150232Y+IL21-4011,unique_combos,Rep 0,1,153,4,8,153,1153,TRUE,
154,NDP250060Y,IL20-615,NDP250060Y+IL20-615,unique_combos,Rep 0,1,154,4,7,154,1154,TRUE,
155,NDP250073Y,IL23-959,NDP250073Y+IL23-959,within_loc,Rep 2,1,155,4,6,155,1155,TRUE,
156,NDP160034Y,IL23-943,NDP160034Y+IL23-943,unique_combos,Rep 0,1,156,4,5,156,1156,TRUE,
157,NDP150228Y,IL22-5070,NDP150228Y+IL22-5070,unique_combos,Rep 0,1,157,4,4,157,1157,TRUE,
158,NDP170022G,IL22-3146,NDP170022G+IL22-3146,unique_combos,Rep 0,1,158,4,3,158,1158,TRUE,
159,NDP170031G,IL20-7841,NDP170031G+IL20-7841,unique_combos,Rep 0,1,159,4,2,159,1159,TRUE,
160,NDP140295G,IL23-2246,NDP140295G+IL23-2246,within_loc,Rep 2,1,160,4,1,160,1160,TRUE,
161,NDP170190Y,IL23-260,NDP170190Y+IL23-260,unique_combos,Rep 0,1,161,5,1,240,1161,FALSE,field_row
162,NDP170022G,IL23-4444,NDP170022G+IL23-4444,unique_combos,Rep 0,1,162,5,2,162,1162,TRUE,
163,NDP250120G,IL23-1621,NDP250120G+IL23-1621,unique_combos,Rep 0,1,163,5,3,163,1163,TRUE,
164,NDP250083Y,IL23-524,NDP250083Y+IL23-524,unique_combos,Rep 0,1,164,5,4,164,1164,TRUE,
165,NDP250155Y,IL23-3730,NDP250155Y+IL23-3730,unique_combos,Rep 0,1,165,5,5,165,1165,TRUE,
166,NDP170043G,IL23-1653,NDP170043G+IL23-1653,unique_combos,Rep 0,1,166,5,6,166,1166,TRUE,
167,NDP250043Y,IL22-5830,NDP250043Y+IL22-5830,within_loc,Rep 1,1,167,5,7,167,1167,TRUE,
168,NDP120181Y,IL23-3661,NDP120181Y+IL23-3661,unique_combos,Rep 0,1,168,5,8,168,1168,TRUE,
169,NDP250127Y,IL23-2021,NDP250127Y+IL23-2021,unique_combos,Rep 0,1,169,5,9,169,1169,TRUE,
170,NDP250176Y,IL23-3830,NDP250176Y+IL23-3830,unique_combos,Rep 0,1,170,5,10,170,1170,TRUE,
171,NDP250111G,IL23-4274,NDP250111G+IL23-4274,within_loc,Rep 1,1,171,5,11,171,1171,TRUE,
172,NDP250052Y,IL23-771,NDP250052Y+IL23-771,across_loc,Rep 0,1,172,5,12,172,1172,TRUE,
173,NDP170245Y,IL23-1165,NDP170245Y+IL23-1165,unique_combos,Rep 0,1,173,5,13,173,1173,TRUE,
174,NDP140295G,IL23-1632,NDP140295G+IL23-1632,unique_combos,Rep 0,1,174,5,14,174,1174,TRUE,
175,NDP250110G,IL23-4037,NDP250110G+IL23-4037,within_loc,Rep 2,1,175,5,15,175,1175,TRUE,
176,NDP250187G,IL23-1423,NDP250187G+IL23-1423,unique_combos,Rep 0,1,176,5,16,176,1176,TRUE,
177,NDP170012G,IL23-360,NDP170012G+IL23-360,unique_combos,Rep 0,1,177,5,17,177,1177,TRUE,
178,NDP250173Y,IL22-2250,NDP250173Y+IL22-2250,unique_combos,Rep 0,1,178,5,18,178,1178,TRUE,
179,NDP250120G,IL23-4546,NDP250120G+IL23-4546,unique_combos,Rep 0,1,179,5,19,179,1179,TRUE,
180,NDP250036Y,IL23-1753,NDP250036Y+IL23-1753,unique_combos,Rep 0,1,180,5,20,180,1180,TRUE,
181,NDP250161Y,IL23-268,NDP250161Y+IL23-268,unique_combos,Rep 0,1,181,5,21,181,1181,TRUE,
182,NDP250085Y,IL23-260,NDP250085Y+IL23-260,unique_combos,Rep 0,1,182,5,22,182,1182,TRUE,
183,NDP121711R,IL23-4037,NDP121711R+IL23-4037,unique_combos,Rep 0,1,183,5,23,183,1183,TRUE,
184,NDP250082Y,IL23-512,NDP250082Y+IL23-512,unique_combos,Rep 0,1,184,5,24,184,1184,TRUE,
185,NDP160034Y,IL19-2673,NDP160034Y+IL19-2673,unique_combos,Rep 0,1,185,5,25,185,1185,TRUE,
186,NDP170185Y,IL23-660,NDP170185Y+IL23-660,unique_combos,Rep 0,1,186,5,26,186,1186,TRUE,
187,NDP170161Y,IL23-3759,NDP170161Y+IL23-3759,unique_combos,Rep 0,1,187,5,27,187,1187,TRUE,
188,NDP250184G,IL23-1631,NDP250184G+IL23-1631,unique_combos,Rep 0,1,188,5,28,188,1188,TRUE,
