"bulk_pack","accessionOat","Location","g_oat_per_location","nPlots","state","oatEntry"
311,"IL22-948",4,24,1,"ND",51
312,"IL22-948",5,48,2,"NY",51
313,"IL23-1037",2,72,3,"IA",131
314,"IL23-1037",3,48,2,"IL",131
315,"IL23-1037",5,24,1,"NY",131
316,"IL23-1115",1,72,3,"AL",132
317,"IL23-1115",2,24,1,"IA",132
318,"IL23-1115",3,24,1,"IL",132
319,"IL23-1115",5,24,1,"NY",132
320,"IL23-1129",1,24,1,"AL",133
321,"IL23-1129",5,24,1,"NY",133
322,"IL23-1163",2,48,2,"IA",134
323,"IL23-1163",4,24,1,"ND",134
324,"IL23-1163",5,24,1,"NY",134
325,"IL23-1165",1,48,2,"AL",135
326,"IL23-1165",2,72,3,"IA",135
327,"IL23-1165",4,96,4,"ND",135
328,"IL23-1165",5,24,1,"NY",135
329,"IL23-1206",1,96,4,"AL",136
330,"IL23-1206",3,72,3,"IL",136
331,"IL23-1206",4,24,1,"ND",136
332,"IL23-1206",5,48,2,"NY",136
333,"IL23-1209",1,48,2,"AL",137
334,"IL23-1209",2,48,2,"IA",137
335,"IL23-1209",3,72,3,"IL",137
336,"IL23-1209",4,24,1,"ND",137
337,"IL23-1209",5,96,4,"NY",137
338,"IL23-1225",2,24,1,"IA",138
339,"IL23-1225",3,48,2,"IL",138
340,"IL23-1225",4,24,1,"ND",138
341,"IL23-1228",1,72,3,"AL",139
342,"IL23-1228",2,96,4,"IA",139
343,"IL23-1228",3,24,1,"IL",139
344,"IL23-1228",5,48,2,"NY",139
345,"IL23-1236",2,24,1,"IA",140
346,"IL23-1236",3,48,2,"IL",140
347,"IL23-1236",5,48,2,"NY",140
348,"IL23-1259",1,48,2,"AL",141
349,"IL23-1259",2,24,1,"IA",141
350,"IL23-1259",4,24,1,"ND",141
351,"IL23-1348",1,48,2,"AL",142
352,"IL23-1348",4,48,2,"ND",142
353,"IL23-1348",5,72,3,"NY",142
354,"IL23-1358",1,24,1,"AL",143
355,"IL23-1358",3,24,1,"IL",143
356,"IL23-1364",2,24,1,"IA",144
357,"IL23-1364",5,72,3,"NY",144
358,"IL23-1409",1,24,1,"AL",145
359,"IL23-1409",4,24,1,"ND",145
360,"IL23-1409",5,48,2,"NY",145
361,"IL23-1410",1,96,4,"AL",146
362,"IL23-1410",2,24,1,"IA",146
363,"IL23-1410",3,24,1,"IL",146
364,"IL23-1410",4,72,3,"ND",146
365,"IL23-1413",2,24,1,"IA",147
