bulk_pack,peaEntry,accessionPea,Location,g_pea_per_location
429,106,NDP250132Y,1,60.0
430,106,NDP250132Y,2,120.0
431,106,NDP250132Y,3,60.0
432,106,NDP250132Y,4,60.0
433,107,NDP250133G,1,126.6
434,107,NDP250133G,2,189.9
435,107,NDP250133G,3,63.3
436,107,NDP250133G,5,126.6
437,108,NDP250134G,2,117.6
438,108,NDP250134G,3,117.6
439,108,NDP250134G,5,58.8
440,109,NDP250135Y,2,71.4
441,109,NDP250135Y,3,71.4
442,109,NDP250135Y,4,71.4
443,109,NDP250135Y,5,285.6
444,110,NDP250136G,1,136.8
445,110,NDP250136G,2,68.4
446,110,NDP250136G,3,136.8
447,110,NDP250136G,4,136.8
448,110,NDP250136G,5,68.4
449,111,NDP250137G,2,133.8
450,111,NDP250137G,4,66.9
451,111,NDP250137G,5,66.9
452,112,NDP250138G,1,124.8
453,112,NDP250138G,2,62.4
454,112,NDP250138G,3,312.0
455,112,NDP250138G,4,124.8
456,112,NDP250138G,5,62.4
457,113,NDP250139G,2,121.2
458,113,NDP250139G,3,181.8
459,113,NDP250139G,4,121.2
460,113,NDP250139G,5,60.6
461,114,NDP250140G,1,54.6
462,114,NDP250140G,2,54.6
463,114,NDP250140G,4,54.6
464,114,NDP250140G,5,163.8
465,115,NDP250141G,1,162.0
466,115,NDP250141G,3,108.0
467,115,NDP250141G,4,108.0
468,115,NDP250141G,5,108.0
469,116,NDP250142G,1,63.8
470,116,NDP250142G,3,127.6
471,116,NDP250142G,4,63.8
472,117,NDP250143G,5,66.3
473,118,NDP250144G,1,66.0
474,118,NDP250144G,2,132.0
475,118,NDP250144G,3,264.0
476,118,NDP250144G,5,66.0
477,119,NDP250145G,1,58.8
478,119,NDP250145G,3,117.6
479,120,NDP250146G,1,63.0
480,120,NDP250146G,2,63.0
481,120,NDP250146G,4,63.0
482,120,NDP250146G,5,63.0
483,121,NDP250147G,1,139.2
484,121,NDP250147G,2,69.6
485,121,NDP250147G,3,139.2
486,121,NDP250147G,5,69.6
487,122,NDP250148G,1,80.2
488,122,NDP250148G,2,80.2
489,122,NDP250148G,3,80.2
490,122,NDP250148G,4,80.2
491,122,NDP250148G,5,80.2
492,123,NDP250149G,1,190.8
493,123,NDP250149G,2,190.8
494,123,NDP250149G,3,190.8
495,123,NDP250149G,4,127.2
496,123,NDP250149G,5,190.8
497,124,NDP250150G,2,253.2
498,124,NDP250150G,4,126.6
499,124,NDP250150G,5,253.2
500,125,NDP250151Y,1,67.8
501,125,NDP250151Y,3,203.4
502,125,NDP250151Y,4,135.6
503,125,NDP250151Y,5,135.6
504,126,NDP250152Y,1,214.2
505,126,NDP250152Y,2,142.8
506,126,NDP250152Y,3,142.8
507,126,NDP250152Y,4,71.4
508,126,NDP250152Y,5,142.8
509,127,NDP250153Y,1,67.2
510,127,NDP250153Y,2,67.2
511,127,NDP250153Y,3,134.4
512,127,NDP250153Y,4,201.6
513,127,NDP250153Y,5,201.6
514,128,NDP250154Y,2,126.0
515,128,NDP250154Y,3,63.0
516,128,NDP250154Y,5,126.0
517,129,NDP250155Y,1,106.2
518,129,NDP250155Y,2,53.1
519,129,NDP250155Y,3,53.1
520,129,NDP250155Y,4,106.2
521,129,NDP250155Y,5,106.2
522,130,NDP250156Y,3,181.8
523,130,NDP250156Y,4,121.2
524,131,NDP250157Y,2,143.4
525,131,NDP250157Y,4,143.4
526,131,NDP250157Y,5,143.4
527,132,NDP250158Y,1,58.2
528,132,NDP250158Y,2,58.2
529,132,NDP250158Y,3,116.4
530,132,NDP250158Y,4,116.4
531,132,NDP250158Y,5,58.2
532,133,NDP250159Y,2,201.6
533,133,NDP250159Y,3,67.2
534,133,NDP250159Y,4,134.4
535,133,NDP250159Y,5,67.2
536,134,NDP250160Y,1,67.5
537,134,NDP250160Y,2,270.0
538,134,NDP250160Y,3,135.0
539,134,NDP250160Y,4,67.5
540,134,NDP250160Y,5,202.5
541,135,NDP250161Y,1,259.2
542,135,NDP250161Y,2,64.8
543,135,NDP250161Y,3,64.8
544,135,NDP250161Y,4,129.6
545,136,NDP250162Y,1,207.0
546,136,NDP250162Y,2,69.0
547,136,NDP250162Y,3,69.0
548,137,NDP250163Y,1,132.0
549,137,NDP250163Y,2,132.0
550,137,NDP250163Y,3,132.0
551,137,NDP250163Y,4,66.0
552,137,NDP250163Y,5,132.0
553,138,NDP250164Y,1,64.8
554,138,NDP250164Y,2,324.0
555,138,NDP250164Y,3,64.8
556,138,NDP250164Y,4,194.4
557,138,NDP250164Y,5,259.2
558,139,NDP250165Y,1,76.2
559,139,NDP250165Y,2,152.4
560,139,NDP250165Y,3,152.4
561,139,NDP250165Y,4,152.4
562,139,NDP250165Y,5,228.6
563,140,NDP250166Y,1,71.4
564,140,NDP250166Y,2,356.8
565,141,NDP250167Y,1,127.2
566,141,NDP250167Y,3,63.6
567,141,NDP250167Y,4,127.2
568,141,NDP250167Y,5,63.6
569,142,NDP250168Y,1,129.6
570,142,NDP250168Y,2,64.8
571,142,NDP250168Y,3,129.6
572,142,NDP250168Y,4,64.8
573,142,NDP250168Y,5,64.8
574,143,NDP250169Y,1,157.2
575,143,NDP250169Y,2,78.6
576,143,NDP250169Y,3,157.2
577,143,NDP250169Y,4,235.8
578,144,NDP250170Y,2,126.0
579,144,NDP250170Y,3,126.0
580,144,NDP250170Y,4,126.0
581,144,NDP250170Y,5,126.0
582,145,NDP250171Y,1,129.1
583,145,NDP250171Y,2,64.6
584,145,NDP250171Y,3,129.1
585,145,NDP250171Y,4,64.6
586,146,NDP250172Y,1,71.4
587,146,NDP250172Y,2,214.2
588,146,NDP250172Y,3,214.2
589,146,NDP250172Y,4,142.8
590,146,NDP250172Y,5,214.2
591,147,NDP250173Y,1,207.0
592,147,NDP250173Y,2,69.0
593,147,NDP250173Y,3,345.0
594,147,NDP250173Y,5,207.0
595,148,NDP250174Y,1,246.0
596,148,NDP250174Y,2,184.5
597,148,NDP250174Y,3,123.0
598,149,NDP250175Y,1,68.4
599,149,NDP250175Y,2,68.4
600,149,NDP250175Y,4,136.8
601,149,NDP250175Y,5,68.4
602,150,NDP250176Y,1,63.0
603,150,NDP250176Y,2,126.0
604,150,NDP250176Y,4,63.0
605,151,NDP250177Y,1,237.5
606,151,NDP250177Y,2,79.2
607,151,NDP250177Y,3,158.3
608,151,NDP250177Y,4,237.5
609,151,NDP250177Y,5,79.2
610,152,NDP250178Y,1,75.2
611,152,NDP250178Y,2,75.2
612,152,NDP250178Y,3,150.3
613,152,NDP250178Y,4,300.6
614,152,NDP250178Y,5,225.5
615,153,NDP250179Y,1,58.8
616,153,NDP250179Y,2,58.8
617,153,NDP250179Y,3,58.8
618,153,NDP250179Y,4,58.8
619,153,NDP250179Y,5,176.4
620,154,NDP250180Y,1,71.4
621,154,NDP250180Y,4,71.4
622,155,NDP250181G,3,189.0
623,155,NDP250181G,4,63.0
624,156,NDP250182G,5,112.8
625,157,NDP250183G,2,121.2
626,157,NDP250183G,3,60.6
627,157,NDP250183G,4,121.2
628,157,NDP250183G,5,60.6
629,158,NDP250184G,1,117.6
630,158,NDP250184G,2,176.4
631,158,NDP250184G,4,117.6
632,158,NDP250184G,5,58.8
633,159,NDP250185G,1,128.4
634,159,NDP250185G,3,64.2
635,159,NDP250185G,4,128.4
636,159,NDP250185G,5,64.2
