observationunit_name,Plot score - 1-9 Rating,Plot size - feet,Lodging severity - 0-9 Rating|CO_350:0005007,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,Maturity date - Julian day|CO_350:0000271,Heading date - Julian day|CO_350:0000270,Pea Flowering Date - 10% - Julian Day|CO_xxx:0003014,Pea Maturity Date - Julian Day|CO_xxx:0003015,,,,,,
B4I_2025_IA_2106,7,104.52,4,7/4/2025,6/6/2025,6/5/2025,7/5/2025,184,156,155,185,,,,,,1/1/2025
B4I_2025_IA_2178,9,104.52,7,7/3/2025,6/5/2025,6/5/2025,7/5/2025,183,155,155,185,,,,,,1/1/2025
B4I_2025_IA_2177,9,104.52,8,7/4/2025,6/4/2025,6/5/2025,7/5/2025,184,154,155,185,,,,,,1/1/2025
B4I_2025_IA_2109,3,104.52,6,7/4/2025,6/8/2025,6/4/2025,7/5/2025,184,158,154,185,,,,,,1/1/2025
B4I_2025_IA_2079,9,104.52,9,7/4/2025,6/7/2025,6/4/2025,7/5/2025,184,157,154,185,,,,,,1/1/2025
B4I_2025_IA_2180,7,104.52,8,7/1/2025,6/7/2025,6/4/2025,7/5/2025,181,157,154,185,,,,,,1/1/2025
B4I_2025_IA_2192,7,104.52,2,7/3/2025,6/6/2025,6/4/2025,7/5/2025,183,156,154,185,,,,,,1/1/2025
B4I_2025_IA_2168,7,104.52,6,7/3/2025,6/5/2025,6/4/2025,7/5/2025,183,155,154,185,,,,,,1/1/2025
B4I_2025_IA_2137,5,104.52,0,7/4/2025,6/7/2025,6/3/2025,7/5/2025,184,157,153,185,,,,,,1/1/2025
B4I_2025_IA_2370,5,104.52,8,7/3/2025,6/7/2025,6/3/2025,7/5/2025,183,157,153,185,,,,,,1/1/2025
B4I_2025_IA_2388,7,104.52,2,7/4/2025,6/7/2025,6/3/2025,7/5/2025,184,157,153,185,,,,,,1/1/2025
B4I_2025_IA_2253,5,104.52,2,7/1/2025,6/6/2025,6/3/2025,7/5/2025,181,156,153,185,,,,,,1/1/2025
B4I_2025_IA_2246,3,104.52,7,7/3/2025,6/5/2025,6/3/2025,7/5/2025,183,155,153,185,,,,,,1/1/2025
B4I_2025_IA_2112,7,104.52,7,6/30/2025,6/1/2025,6/3/2025,7/5/2025,180,151,153,185,,,,,,1/1/2025
B4I_2025_IA_2185,7,104.52,9,7/3/2025,6/7/2025,6/2/2025,7/5/2025,183,157,152,185,,,,,,1/1/2025
B4I_2025_IA_2343,9,104.52,8,7/3/2025,6/7/2025,6/2/2025,7/5/2025,183,157,152,185,,,,,,1/1/2025
B4I_2025_IA_2358,7,104.52,7,7/4/2025,6/7/2025,6/2/2025,7/5/2025,184,157,152,185,,,,,,1/1/2025
B4I_2025_IA_2374,7,104.52,8,7/3/2025,6/7/2025,6/2/2025,7/5/2025,183,157,152,185,,,,,,1/1/2025
B4I_2025_IA_2145,5,104.52,9,7/3/2025,6/5/2025,6/2/2025,7/5/2025,183,155,152,185,,,,,,1/1/2025
B4I_2025_IA_2182,3,104.52,3,7/5/2025,6/8/2025,5/30/2025,7/5/2025,185,158,149,185,,,,,,1/1/2025
B4I_2025_IA_2054,9,104.52,7,7/3/2025,6/5/2025,5/30/2025,7/5/2025,183,155,149,185,,,,,,1/1/2025
B4I_2025_IA_2186,7,104.52,3,7/3/2025,6/7/2025,6/4/2025,7/4/2025,183,157,154,184,,,,,,1/1/2025
B4I_2025_IA_2170,5,104.52,2,7/3/2025,6/8/2025,6/3/2025,7/4/2025,183,158,153,184,,,,,,1/1/2025
B4I_2025_IA_2213,3,104.52,1,7/2/2025,6/7/2025,6/11/2025,7/4/2025,182,157,161,184,,,,,,1/1/2025
B4I_2025_IA_2150,5,104.52,1,7/1/2025,6/5/2025,6/11/2025,7/4/2025,181,155,161,184,,,,,,1/1/2025
B4I_2025_IA_2042,7,104.52,7,7/3/2025,6/8/2025,6/10/2025,7/4/2025,183,158,160,184,,,,,,1/1/2025
B4I_2025_IA_2084,3,104.52,2,7/4/2025,6/5/2025,6/10/2025,7/4/2025,184,155,160,184,,,,,,1/1/2025
B4I_2025_IA_2128,5,104.52,3,6/29/2025,6/3/2025,6/10/2025,7/4/2025,179,153,160,184,,,,,,1/1/2025
B4I_2025_IA_2039,7,104.52,4,7/3/2025,6/9/2025,6/9/2025,7/4/2025,183,159,159,184,,,,,,1/1/2025
