consec,GID,YEAR,IDno,MaxFreq,SeePlot_g,SeeLoc_g,AL,IA,IL,ND,NY,TOTALfreq,wgTOTAL,lCONSEC,lACCNO,lGID,lLOC,lLOCwg,pLABEL01,pLABEL02,pLABEL03
14,IL24-4634,24,4634,3,24,72,3,3,3,3,2,14,456,53,14,IL24-4634,AL,120 g,53  ( AL--14 ),IL24-4634,B4i-26 Oat seed ~120 g
14,IL24-4634,24,4634,3,24,72,3,3,3,3,2,14,456,54,14,IL24-4634,IA,120 g,54  ( IA--14 ),IL24-4634,B4i-26 Oat seed ~120 g
14,IL24-4634,24,4634,3,24,72,3,3,3,3,2,14,456,55,14,IL24-4634,ND,120 g,55  ( ND--14 ),IL24-4634,B4i-26 Oat seed ~120 g
14,IL24-4634,24,4634,3,24,72,3,3,3,3,2,14,456,56,14,IL24-4634,NY,120 g,56  ( NY--14 ),IL24-4634,B4i-26 Oat seed ~120 g
15,IL24-2647,24,2647,3,24,72,2,2,2,3,2,11,384,57,15,IL24-2647,AL,120 g,57  ( AL--15 ),IL24-2647,B4i-26 Oat seed ~120 g
15,IL24-2647,24,2647,3,24,72,2,2,2,3,2,11,384,58,15,IL24-2647,IA,120 g,58  ( IA--15 ),IL24-2647,B4i-26 Oat seed ~120 g
15,IL24-2647,24,2647,3,24,72,2,2,2,3,2,11,384,59,15,IL24-2647,ND,120 g,59  ( ND--15 ),IL24-2647,B4i-26 Oat seed ~120 g
15,IL24-2647,24,2647,3,24,72,2,2,2,3,2,11,384,60,15,IL24-2647,NY,120 g,60  ( NY--15 ),IL24-2647,B4i-26 Oat seed ~120 g
16,IL24-3376,24,3376,2,24,48,1,2,2,1,1,7,288,61,16,IL24-3376,AL,120 g,61  ( AL--16 ),IL24-3376,B4i-26 Oat seed ~120 g
16,IL24-3376,24,3376,2,24,48,1,2,2,1,1,7,288,62,16,IL24-3376,IA,120 g,62  ( IA--16 ),IL24-3376,B4i-26 Oat seed ~120 g
16,IL24-3376,24,3376,2,24,48,1,2,2,1,1,7,288,63,16,IL24-3376,ND,120 g,63  ( ND--16 ),IL24-3376,B4i-26 Oat seed ~120 g
16,IL24-3376,24,3376,2,24,48,1,2,2,1,1,7,288,64,16,IL24-3376,NY,120 g,64  ( NY--16 ),IL24-3376,B4i-26 Oat seed ~120 g
17,IL24-6547,24,6547,2,24,48,1,2,2,1,2,8,312,65,17,IL24-6547,AL,120 g,65  ( AL--17 ),IL24-6547,B4i-26 Oat seed ~120 g
17,IL24-6547,24,6547,2,24,48,1,2,2,1,2,8,312,66,17,IL24-6547,IA,120 g,66  ( IA--17 ),IL24-6547,B4i-26 Oat seed ~120 g
17,IL24-6547,24,6547,2,24,48,1,2,2,1,2,8,312,67,17,IL24-6547,ND,120 g,67  ( ND--17 ),IL24-6547,B4i-26 Oat seed ~120 g
17,IL24-6547,24,6547,2,24,48,1,2,2,1,2,8,312,68,17,IL24-6547,NY,120 g,68  ( NY--17 ),IL24-6547,B4i-26 Oat seed ~120 g
18,IL24-7478,24,7478,2,24,48,1,1,2,1,2,7,288,69,18,IL24-7478,AL,120 g,69  ( AL--18 ),IL24-7478,B4i-26 Oat seed ~120 g
